"id";"bgImage";"companyName";"location";"scale";"jobs";"skill1";"skill2";"skill3";"skill4";"skill5"
1;"https://ahj-frontend-assets.s3-us-west-2.amazonaws.com/logos/ulxnboxzybglbnai.png";"LiveRamp";"San Francisco, CA";"100";"7";"Clear individual goals";"EQ emphasis";"Work-life balance";"Advertising";"Data Integration"
2;"https://ahj-frontend-assets.s3-us-west-2.amazonaws.com/logos/mtyjpwveeqgyjduf.png";"Twilio";"San Francisco, CA";"80";"15";"Fast-paced environment";"Strong diversity focus";"Very collaborative";"Apps";"Enterprise Software"
3;"https://ahj-frontend-assets.s3-us-west-2.amazonaws.com/logos/eltiymqmrlqqvmwd.png";"Github";"San Francisco, CA";"251-1000";"12";"International team";"Open-source orientation";"Very collaborative";"Developer Tools";"Internet"
4;"https://ahj-frontend-assets.s3-us-west-2.amazonaws.com/logos/obabmygpcuwcxawu.png";"Asana";"San Francisco, CA";"251-1000";"18";"Family-friendly";"Strong diversity focus";"Very collaborative";"Enterprise Software";"Software"
5;"https://ahj-frontend-assets.s3-us-west-2.amazonaws.com/logos/zrnymqtjflwxksoc.png";"Robinhood";"Menlo Park, CA";"251-1000";"22";"Open-source orientation";"Very collaborative";"Cryptocurrency";"FinTech";"AWS"
6;"https://ahj-frontend-assets.s3-us-west-2.amazonaws.com/logos/orqsnvllfsezqjyy.png";"Postmates";"San Francisco, CA";"251-1000";"14";"Open-source orientation";"Delivery";"Logistics";"Apache HBase";"AWS"
7;"https://ahj-frontend-assets.s3-us-west-2.amazonaws.com/logos/knzhakibetjttjxy.png";"BitGo";"Palo Alto, CA";"51-250";"5";"Very collaborative";"Cryptocurrency";"Virtual Currency";"Go";"Java"
8;"https://ahj-frontend-assets.s3-us-west-2.amazonaws.com/logos/tngjgkvvznphtbnk.png";"Sysdig";"San Francisco, CA";"51-250";"8";"Open-source orientation";"Very collaborative";"Internet";"Software";"AWS"
9;"https://ahj-frontend-assets.s3-us-west-2.amazonaws.com/logos/ambivbczwbeutqfu.png";"Harrys";"New York, NY";"51-250";"2";"Strong diversity focus";"Very collaborative";"E-Commerce";"Lifestyle";"Amazon Redshift"
10;"https://ahj-frontend-assets.s3-us-west-2.amazonaws.com/logos/gtnubjnftnijdizh.png";"Justworks";"New York, NY";"251-1000";"7";"Very collaborative";"Enterprise Software";"Internet";"AWS";"Docker"
